city,date,temp_max,temp_min,humidity_max,humidity_min,wind_speed,precipitation,pm25,pm10,no2,so2,o3,co,AQI
New Delhi,2025-10-20,33.2,22.5,76.0,30.0,8.5,0.0,110.82375777777779,140.96190333333334,18.555434444444444,7.350221666666667,113.78365555555557,500.0,110.82375777777779
New Delhi,2025-10-21,31.0,23.4,85.0,37.0,6.9,0.6,121.72531944444444,148.62520833333335,19.72425,6.983347222222224,106.86379166666667,500.0,121.72531944444444
New Delhi,2025-10-22,32.0,21.3,94.0,32.0,9.9,0.0,129.70804166666667,156.50790277777776,21.064333333333334,7.324958333333335,104.71590277777779,500.0,129.70804166666667
New Delhi,2025-10-23,31.8,20.1,72.0,26.0,9.7,0.0,121.17929777777779,150.26824944444442,21.075758888888892,7.811374999999999,110.31566,500.0,121.17929777777779
New Delhi,2025-10-24,32.2,20.0,77.0,22.0,9.2,0.0,109.34785333333335,141.75270777777777,21.828495,8.48611111111111,117.16647944444445,500.0,109.34785333333335
New Delhi,2025-10-25,31.9,20.2,75.0,25.0,8.5,0.0,101.18403388888889,136.25713833333333,20.573453333333333,7.735180555555557,121.98749333333332,500.0,101.18403388888889
New Delhi,2025-10-26,32.1,19.4,69.0,22.0,5.2,0.0,107.67322222222222,141.08502777777778,19.017555555555557,8.119944444444446,127.33933333333334,500.0,107.67322222222222
New Delhi,2025-10-27,30.6,19.9,79.0,33.0,13.6,0.0,109.70880555555553,135.60552777777778,15.231847222222227,7.291375000000001,130.13288888888889,500.0,109.70880555555553
New Delhi,2025-10-28,27.5,20.6,89.0,47.0,6.6,0.0,100.55338222222221,117.96285944444443,13.072612222222226,5.9352294444444444,126.47948444444447,500.0,100.55338222222221
New Delhi,2025-10-29,29.3,20.1,90.0,47.0,8.3,0.0,123.2434377777778,138.24665111111113,13.071709444444448,6.932798888888889,126.8969288888889,500.0,123.2434377777778
New Delhi,2025-10-30,27.8,22.4,94.0,61.0,5.5,0.0,133.39932666666667,147.305665,14.031903888888891,5.77616,115.91138722222222,500.0,133.39932666666667
New Delhi,2025-10-31,30.6,20.9,96.0,46.0,8.4,0.2,133.92238888888892,150.20850000000002,17.89052777777778,5.840611111111111,99.50976388888888,500.0,133.92238888888892
New Delhi,2025-11-01,31.1,19.5,95.0,28.0,10.2,0.0,97.67965277777778,117.82838888888891,19.054750000000002,3.041819444444444,83.23466666666666,500.0,97.67965277777778
New Delhi,2025-11-02,29.5,18.6,81.0,36.0,12.7,0.0,77.73649,108.26883166666669,19.000872222222224,3.4148327777777783,83.17101722222222,500.0,77.73649
New Delhi,2025-11-03,30.7,17.8,74.0,27.0,14.0,0.0,74.47565666666667,116.62783166666665,17.69653888888889,4.016263333333334,93.11655888888889,500.0,74.47565666666667
